veh_id,time_s,cx,cy,lane_id
5,0.08333333333333333,680.4385070800781,254.2642822265625,E_left_turn
6,0.08333333333333333,754.650390625,185.19671630859375,E_through
8,0.08333333333333333,726.6862487792969,260.44248962402344,E_left_turn
9,0.08333333333333333,34.97524642944336,337.2153778076172,W_through
10,0.08333333333333333,769.7398376464844,258.48548889160156,E_left_turn
11,0.08333333333333333,169.73339080810547,262.5787887573242,W_left_turn
12,0.08333333333333333,107.67325592041016,333.4952392578125,W_through
13,0.08333333333333333,47.86166954040527,359.69175720214844,W_right_turn
14,0.08333333333333333,45.094096183776855,288.12733459472656,W_through
16,0.08333333333333333,236.83829498291016,262.34542083740234,W_left_turn
17,0.08333333333333333,160.86375427246094,239.96346282958984,W_left_turn
18,0.08333333333333333,790.29833984375,211.0945587158203,E_through
20,0.08333333333333333,213.6786346435547,326.57505798339844,W_through
